;date;war articles;total articles;standardized
156;05.06.2000;0.0;22;0.0
157;06.06.2000;0.0;24;0.0
158;07.06.2000;0.0;33;0.0
159;08.06.2000;1.0;24;0.041666666666666664
160;09.06.2000;0.0;29;0.0
161;10.06.2000;0.0;9;0.0
162;11.06.2000;0.0;7;0.0
163;12.06.2000;0.0;7;0.0
164;13.06.2000;0.0;21;0.0
165;14.06.2000;0.0;26;0.0
166;15.06.2000;0.0;21;0.0
167;16.06.2000;0.0;23;0.0
168;17.06.2000;1.0;22;0.045454545454545456
169;18.06.2000;0.0;10;0.0
170;19.06.2000;0.0;14;0.0
171;20.06.2000;1.0;19;0.05263157894736842
172;21.06.2000;0.0;17;0.0
173;22.06.2000;0.0;16;0.0
174;23.06.2000;0.0;20;0.0
175;24.06.2000;0.0;31;0.0
176;25.06.2000;1.0;12;0.08333333333333333
177;26.06.2000;0.0;20;0.0
178;27.06.2000;0.0;15;0.0
179;28.06.2000;0.0;20;0.0
180;29.06.2000;0.0;25;0.0
181;30.06.2000;0.0;19;0.0
182;01.07.2000;0.0;19;0.0
183;02.07.2000;0.0;4;0.0
184;03.07.2000;0.0;14;0.0
185;04.07.2000;0.0;22;0.0
186;05.07.2000;0.0;15;0.0
187;06.07.2000;0.0;18;0.0
188;07.07.2000;0.0;16;0.0
189;08.07.2000;0.0;25;0.0
190;09.07.2000;0.0;6;0.0
191;10.07.2000;0.0;20;0.0
192;11.07.2000;0.0;22;0.0
193;12.07.2000;0.0;22;0.0
194;13.07.2000;0.0;12;0.0
195;14.07.2000;0.0;22;0.0
196;15.07.2000;0.0;21;0.0
197;16.07.2000;0.0;10;0.0
198;17.07.2000;0.0;14;0.0
199;18.07.2000;0.0;10;0.0
200;19.07.2000;0.0;15;0.0
201;20.07.2000;0.0;1;0.0
202;21.07.2000;0.0;9;0.0
203;22.07.2000;0.0;27;0.0
204;23.07.2000;0.0;10;0.0
205;24.07.2000;0.0;19;0.0
206;25.07.2000;0.0;19;0.0
207;26.07.2000;0.0;9;0.0
208;27.07.2000;0.0;8;0.0
209;28.07.2000;0.0;11;0.0
210;29.07.2000;0.0;14;0.0
211;30.07.2000;0.0;5;0.0
212;31.07.2000;0.0;17;0.0
213;01.08.2000;0.0;16;0.0
214;02.08.2000;0.0;16;0.0
215;03.08.2000;0.0;13;0.0
216;04.08.2000;0.0;21;0.0
217;05.08.2000;0.0;26;0.0
218;06.08.2000;0.0;6;0.0
219;07.08.2000;0.0;16;0.0
220;08.08.2000;0.0;21;0.0
221;09.08.2000;0.0;19;0.0
222;10.08.2000;0.0;15;0.0
223;11.08.2000;1.0;19;0.05263157894736842
224;12.08.2000;0.0;21;0.0
225;13.08.2000;0.0;13;0.0
226;14.08.2000;0.0;16;0.0
227;15.08.2000;0.0;17;0.0
228;16.08.2000;0.0;19;0.0
229;17.08.2000;0.0;14;0.0
230;18.08.2000;0.0;13;0.0
231;19.08.2000;0.0;17;0.0
232;20.08.2000;0.0;6;0.0
233;21.08.2000;0.0;17;0.0
234;22.08.2000;0.0;24;0.0
235;23.08.2000;0.0;17;0.0
236;24.08.2000;0.0;17;0.0
237;25.08.2000;0.0;12;0.0
238;26.08.2000;0.0;30;0.0
239;27.08.2000;0.0;7;0.0
240;28.08.2000;1.0;15;0.06666666666666667
241;29.08.2000;1.0;17;0.058823529411764705
242;30.08.2000;0.0;11;0.0
243;31.08.2000;0.0;14;0.0
244;01.09.2000;0.0;14;0.0
245;02.09.2000;1.0;32;0.03125
246;03.09.2000;0.0;12;0.0
247;04.09.2000;0.0;17;0.0
248;05.09.2000;0.0;16;0.0
249;06.09.2000;0.0;20;0.0
250;07.09.2000;1.0;16;0.0625
251;08.09.2000;1.0;20;0.05
252;09.09.2000;0.0;22;0.0
253;10.09.2000;0.0;4;0.0
254;11.09.2000;0.0;19;0.0
255;12.09.2000;0.0;22;0.0
256;13.09.2000;0.0;23;0.0
257;14.09.2000;0.0;30;0.0
258;15.09.2000;0.0;18;0.0
259;16.09.2000;0.0;26;0.0
260;17.09.2000;0.0;12;0.0
261;18.09.2000;1.0;16;0.0625
262;19.09.2000;1.0;13;0.07692307692307693
263;20.09.2000;0.0;16;0.0
264;21.09.2000;0.0;22;0.0
265;22.09.2000;0.0;16;0.0
266;23.09.2000;0.0;28;0.0
267;24.09.2000;0.0;12;0.0
268;25.09.2000;0.0;22;0.0
269;26.09.2000;0.0;20;0.0
270;27.09.2000;1.0;17;0.058823529411764705
271;28.09.2000;0.0;21;0.0
272;29.09.2000;0.0;28;0.0
273;30.09.2000;0.0;16;0.0
274;01.10.2000;0.0;8;0.0
275;02.10.2000;3.0;23;0.13043478260869565
276;03.10.2000;0.0;19;0.0
277;04.10.2000;0.0;21;0.0
278;05.10.2000;0.0;24;0.0
279;06.10.2000;0.0;31;0.0
280;07.10.2000;1.0;21;0.047619047619047616
281;08.10.2000;1.0;8;0.125
282;09.10.2000;2.0;20;0.1
283;10.10.2000;3.0;20;0.15
284;11.10.2000;0.0;17;0.0
285;12.10.2000;2.0;23;0.08695652173913043
286;13.10.2000;2.0;16;0.125
287;14.10.2000;0.0;5;0.0
288;15.10.2000;0.0;7;0.0
289;16.10.2000;1.0;23;0.043478260869565216
290;17.10.2000;1.0;22;0.045454545454545456
291;18.10.2000;1.0;20;0.05
292;19.10.2000;1.0;18;0.05555555555555555
293;20.10.2000;0.0;21;0.0
294;21.10.2000;1.0;31;0.03225806451612903
295;22.10.2000;0.0;8;0.0
296;23.10.2000;1.0;18;0.05555555555555555
297;24.10.2000;0.0;17;0.0
298;25.10.2000;0.0;22;0.0
299;26.10.2000;0.0;17;0.0
300;27.10.2000;0.0;13;0.0
301;28.10.2000;1.0;28;0.03571428571428571
302;29.10.2000;0.0;11;0.0
303;30.10.2000;0.0;23;0.0
304;31.10.2000;0.0;18;0.0
305;01.11.2000;0.0;14;0.0
306;02.11.2000;0.0;17;0.0
307;03.11.2000;0.0;15;0.0
308;04.11.2000;0.0;23;0.0
309;05.11.2000;1.0;7;0.14285714285714285
310;06.11.2000;0.0;11;0.0
311;07.11.2000;0.0;20;0.0
312;08.11.2000;0.0;42;0.0
313;09.11.2000;1.0;24;0.041666666666666664
314;10.11.2000;0.0;29;0.0
315;11.11.2000;1.0;22;0.045454545454545456
316;12.11.2000;1.0;15;0.06666666666666667
317;13.11.2000;1.0;36;0.027777777777777776
318;14.11.2000;0.0;25;0.0
319;15.11.2000;0.0;20;0.0
320;16.11.2000;0.0;35;0.0
321;17.11.2000;2.0;27;0.07407407407407407
322;18.11.2000;0.0;32;0.0
323;19.11.2000;0.0;9;0.0
324;20.11.2000;0.0;23;0.0
325;21.11.2000;1.0;17;0.058823529411764705
326;22.11.2000;0.0;26;0.0
327;23.11.2000;0.0;20;0.0
328;24.11.2000;1.0;27;0.037037037037037035
