date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
10.10.2003;26;50;11;5;-;3;-;5
03.10.2003;27;50;11;5;-;3;-;4
26.09.2003;28;48;11;6;-;4;-;3
19.09.2003;29;46;10;7;-;4;-;4
12.09.2003;30;46;9;6;-;4;-;5
05.09.2003;29;46;10;6;-;4;-;5
29.08.2003;30;46;10;6;-;4;-;4
22.08.2003;30;46;10;7;-;4;-;3
15.08.2003;30;45;10;8;-;3;-;4
08.08.2003;30;46;10;7;-;4;-;3
01.08.2003;31;46;9;6;-;4;-;4
25.07.2003;31;45;10;7;-;4;-;3
18.07.2003;31;46;10;6;-;4;-;3
11.07.2003;32;46;9;6;-;4;-;3
04.07.2003;30;47;10;7;-;4;-;2
27.06.2003;30;47;10;6;-;4;-;3
20.06.2003;30;48;9;6;-;4;-;3
13.06.2003;29;47;10;7;-;4;-;3
06.06.2003;29;47;10;7;-;4;-;3
30.05.2003;30;46;11;7;-;4;-;2
23.05.2003;28;47;10;8;-;4;-;3
16.05.2003;27;48;10;8;-;4;-;3
09.05.2003;29;47;11;7;-;4;-;2
02.05.2003;28;48;10;7;-;4;-;3
25.04.2003;30;46;12;6;-;3;-;3
18.04.2003;30;47;11;5;-;4;-;3
11.04.2003;31;46;10;6;-;3;-;4
04.04.2003;31;45;11;6;-;3;-;4
28.03.2003;31;46;11;5;-;3;-;4
21.03.2003;30;47;10;5;-;4;-;4
14.03.2003;28;49;11;6;-;3;-;3
07.03.2003;27;49;12;6;-;3;-;3
28.02.2003;28;49;11;6;-;4;-;2
21.02.2003;28;49;11;6;-;3;-;3
14.02.2003;27;49;12;6;-;3;-;3
07.02.2003;28;49;11;6;-;3;-;3
31.01.2003;30;47;10;7;-;3;-;3
24.01.2003;30;47;10;7;-;3;-;3
17.01.2003;30;47;11;6;-;3;-;3
10.01.2003;29;48;12;5;-;3;-;3
03.01.2003;31;47;10;5;-;4;-;3
20.12.2002;30;47;11;5;-;4;-;3
13.12.2002;29;47;11;6;-;4;-;3
06.12.2002;28;48;12;5;-;4;-;3
29.11.2002;30;48;11;5;-;4;-;2
22.11.2002;30;48;11;4;-;4;-;3
15.11.2002;32;46;10;5;-;4;-;3
08.11.2002;34;44;10;5;-;4;-;3
01.11.2002;35;43;9;6;-;4;-;3
25.10.2002;36;41;10;6;-;4;-;3
18.10.2002;37;40;10;6;-;4;-;3
11.10.2002;38;39;9;7;-;4;-;3
04.10.2002;38;39;9;7;-;4;-;3
22.09.2002;38;38;9;7;-;4;-;3
06.09.2002;38;40;8;8;-;4;-;2
30.08.2002;39;41;7;7;-;4;-;2
23.08.2002;36;41;7;8;-;4;-;4
16.08.2002;34;40;7;10;-;5;-;4
09.08.2002;34;41;7;9;-;5;-;4
02.08.2002;35;40;7;9;-;5;-;4
26.07.2002;35;41;7;9;-;5;-;3
19.07.2002;35;40;6;9;-;6;-;4
12.07.2002;35;40;6;9;-;6;-;4
05.07.2002;36;40;6;9;-;6;-;3
01.06.2002;34;39;8;10;-;6;-;3
01.05.2002;32;41;7;11;-;5;-;4
01.04.2002;34;39;7;9;-;7;-;4
01.03.2002;36;40;6;9;-;6;-;3
01.02.2002;36;41;6;8;-;7;-;2
01.01.2002;38;39;5;8;-;7;-;3
01.12.2001;40;36;6;9;-;7;-;2
01.11.2001;41;35;6;9;-;6;-;3
01.10.2001;40;36;6;9;-;5;-;4
01.09.2001;38;36;7;10;-;5;-;4
01.08.2001;38;36;7;10;-;6;-;3
01.07.2001;39;34;7;10;-;7;-;3
01.06.2001;39;37;7;9;-;5;-;3
01.05.2001;41;35;7;8;-;5;-;4
01.04.2001;39;36;7;8;-;5;-;5
01.03.2001;40;35;8;8;-;5;-;4
01.02.2001;38;35;8;9;-;5;-;5
01.01.2001;38;37;7;9;-;5;-;4
01.12.2000;38;37;8;7;-;5;-;5
01.11.2000;39;37;6;7;-;6;-;5
01.10.2000;39;39;6;6;-;6;-;4
01.09.2000;43;34;6;8;-;6;-;3
01.08.2000;42;34;6;9;-;5;-;4
01.07.2000;39;38;6;8;-;5;-;4
01.06.2000;38;39;7;9;-;5;-;2
01.05.2000;41;36;6;7;-;5;-;5
07.04.2000;39;34;8;7;-;7;-;5
03.03.2000;42;31;7;9;-;7;-;4
