date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
23.03.2018;19;33;12;9;13;10;-;4
01.03.2018;18;34;11;9;15;9;-;4
23.02.2018;17;34;12;9;14;10;-;4
15.02.2018;16;33;13;9;15;11;-;3
01.02.2018;18;33;11;10;14;11;-;3
26.01.2018;19;33;11;10;12;10;-;5
04.01.2018;21;33;11;9;13;9;-;4
15.12.2017;20;32;12;9;13;9;-;5
07.12.2017;21;32;11;9;13;10;-;4
20.11.2017;22;32;11;10;11;10;-;4
17.11.2017;21;31;11;11;12;10;-;4
09.11.2017;21;30;11;12;13;9;-;4
20.10.2017;21;31;11;12;12;9;-;4
12.10.2017;20;32;10;11;11;10;-;6
14.09.2017;20;37;7.5;9.5;12;9;-;5
07.09.2017;21;37;8;9;11;10;-;4
31.08.2017;23;37;8;8;11;9;-;4
25.08.2017;22;38;8;9;10;9;-;4
09.08.2017;24;39;8;8;8;9;-;4
28.07.2017;23;40;8;8;9;8;-;4
06.07.2017;23;39;8;9;9;9;-;3
16.06.2017;24;39;7;9;8;8;-;5
08.06.2017;24;38;7;10;9;8;-;4
19.05.2017;26;38;8;9;9;6;-;4
11.05.2017;27;37;8;8;10;7;-;3
21.04.2017;30;35;7;6;10;8;-;4
13.04.2017;31;34;8;6;11;7;-;3
24.03.2017;32;32;8;6;11;7;-;4
09.03.2017;31;32;8;6;11;8;-;4
24.02.2017;32;31;8;6;11;7;-;5
02.02.2017;28;34;8;6;12;8;-;4
27.01.2017;23;35;9;6;14;8;-;5
05.01.2017;20;37;9;5;15;9;-;5
16.12.2016;21;36;10;6;13;9;-;5
08.12.2016;22;35;11;5;13;9;-;5
18.11.2016;23;32;13;6;12;9;-;5
03.11.2016;22;33;12;6;13;9;-;5
21.10.2016;22;33;12;5;14;9;-;5
06.10.2016;22;33;11;6;14;9;-;5
23.09.2016;22;32;12;6;16;8;-;4
01.09.2016;23;33;11;5;14;9;-;5
26.08.2016;22;33;12;5;13;9;-;6
04.08.2016;22;34;13;5;12;9;-;5
15.07.2016;22;33;14;6;12;8;-;5
07.07.2016;22;34;13;6;12;9;-;4
17.06.2016;21;31;14;7;14;9;-;4
02.06.2016;21;32;13;6;15;9;-;4
20.05.2016;21;32;12;7;15;9;-;4
04.05.2016;20;33;13;6;15;8;-;5
22.04.2016;21;33;12;7;14;8;-;5
07.04.2016;21;34;13;7;14;7;-;4
24.03.2016;22;34;12;7;13;8;-;4
29.02.2016;23;36;10;6;11;9;-;5
26.02.2016;23;37;11;6;10;8;-;5
03.02.2016;24;35;10;5;12;9;-;5
15.01.2016;25;37;10;4;10;8;-;6
07.01.2016;24;39;11;4;9;8;-;5
18.12.2015;24;38;10;4;10;8;-;6
03.12.2015;25;37;11;4;10;8;-;5
20.11.2015;25;37;10;5;9;8;-;6
05.11.2015;24;37;11;5;8;9;-;6
23.10.2015;24;38;11;5;8;9;-;5
01.10.2015;24;40;10;5;6;9;-;6
11.09.2015;25;42;11;4;4;9;-;5
03.09.2015;24;42;12;4;4;8;-;6
14.08.2015;24;42;11;4;4;9;-;6
30.07.2015;24;42;11;5;4;9;-;5
17.07.2015;24;41;11;6;4;9;-;5
02.07.2015;25;40;11;5;5;10;-;4
19.06.2015;25;40;10;5;5;10;-;5
03.06.2015;25;40;10;6;5;9;-;5
22.05.2015;26;41;9;5;5;9;-;5
07.05.2015;25;40;10;4;6;9;-;6
24.04.2015;24;41;11;4;6;8;-;6
02.04.2015;25;41;10;4;6;9;-;5
13.03.2015;24;41;11;4;6;9;-;5
05.03.2015;25;41;10;4;6;9;-;5
13.02.2015;24;42;10;3;7;8;-;6
05.02.2015;25;41;10;3;6;9;-;6
16.01.2015;25;41;10;4;6;8;-;6
08.01.2015;26;41;10;3;6;8;-;6
19.12.2014;25;42;10;-;6;8;-;9
04.12.2014;26;40;11;2;7;9;-;5
21.11.2014;26;41;11;3;6;8;-;5
06.11.2014;25;41;10;3;7;9;-;5
24.10.2014;26;40;10;2;7;9;-;6
02.10.2014;24;41;9;2;9;10;-;5
26.09.2014;25;39;10;3;8;10;-;5
04.09.2014;24;40;10;3;7;10;-;6
29.08.2014;25;42;9;3;5;9;-;7
07.08.2014;26;41;10;3;5;9;-;6
18.07.2014;26;40;10;4;4;10;-;6
03.07.2014;26;39;11;4;5;9;-;6
20.06.2014;25;39;12;4;6;8;-;6
05.06.2014;26;38;11;4;7;9;-;5
15.05.2014;26;39;11;4;6;9;-;5
30.04.2014;26;40;10;4;5;9;-;6
25.04.2014;25;41;10;4;5;10;-;5
03.04.2014;26;41;10;4;5;9;-;5
28.03.2014;25;41;10;4;5;8;-;7
06.03.2014;24;42;11;4;4;9;-;6
28.02.2014;26;40;10;4;5;9;-;6
06.02.2014;27;41;9;4;5;9;-;5
31.01.2014;27;42;9;4;4;8;-;6
09.01.2014;27;41;9;4;4;8;-;7
20.12.2013;27;42;9;4;4;8;-;6
05.12.2013;25;43;10;3;4;9;-;6
22.11.2013;25;42;10;3;4;9;-;7
07.11.2013;26;42;10;3;4;9;-;6
25.10.2013;27;40;9;4;5;9;-;6
10.10.2013;26;42;8;3;4.5;9;-;7,5
22.09.2013;25.7;41.5;8.4;4.8;4.7;8.6;-;4
12.09.2013;28;40;10;5;2.5;8;-;4
05.09.2013;27;41;10;5;3;8;-;6
29.08.2013;26;41;11;5;3;8;-;6
23.08.2013;24;42;12;5;3;9;-;3
15.08.2013;25;42;12;5;-;8;-;5
09.08.2013;25;42;13;5;-;7;-;5
01.08.2013;26;42;13;5;-;7;-;7
25.07.2013;25;42;14;4;2;7;-;6
19.07.2013;26;41;13;4;3;7;-;6
12.07.2013;26;41;14;4;3;6;-;6
04.07.2013;25;42;14;4;-;7;-;5
28.06.2013;26;41;13;4;-;7;-;6
21.06.2013;25;41;14;5;-;7;-;8
14.06.2013;26;41;15;4;2;7;-;5
06.06.2013;27;41;14;4;3;6;-;5
31.05.2013;26;42;14;4;3;6;-;5
24.05.2013;27;41;14;4;2;6;-;4
17.05.2013;26;41;14;4;3;6;-;3
10.05.2013;27;40;14;5;3;6;-;5
02.05.2013;26;40;15;4;3;7;-;5
26.04.2013;27;40;14;4;3;7;-;5
21.04.2013;27;41;14;4;3;7;-;4
12.04.2013;27;42;15;4;-;7;-;3
04.04.2013;27;41;14;4;-;8;-;3
28.03.2013;28;39;15;4;-;8;-;3
22.03.2013;27;38;16;5;-;8;-;4
14.03.2013;25;40;17;5;-;7;-;3
07.03.2013;26;40;17;4;-;7;-;4
28.02.2013;27;41;15;4;-;6;-;4
21.02.2013;28;40;15;5;-;6;-;3
15.02.2013;27;40;16;4;-;7;-;3
07.02.2013;29;39;15;4;-;6;-;4
31.01.2013;27;40;15;4;-;6;-;4
24.01.2013;27;42;14;4;-;6;-;4
18.01.2013;26;42;13;4;-;7;-;4
10.01.2013;28;41;14;4;-;6;-;4
04.01.2013;29;41;12;4;-;6;-;4
21.12.2012;30;40;13;4;-;7;-;3
06.12.2012;30;39;14;4;-;7;-;3
23.11.2012;29;39;15;4;-;6;-;3
08.11.2012;30;40;14;4;-;6;-;2
26.10.2012;30;38;13;4;-;7;-;3
04.10.2012;31;39;11;4;-;7;-;4
28.09.2012;30;37;12;4;-;7;-;4
06.09.2012;30;37;13;4;-;6;-;4
17.08.2012;29;36;13;5;-;6;-;4
01.08.2012;28;36;13;5;-;6;-;4
20.07.2012;30;35;14;4;-;6;-;3
05.07.2012;30;35;14;4;-;7;-;3
22.06.2012;31;34;14;4;-;6;-;3
06.06.2012;30;34;13;5;-;5;-;4
25.05.2012;29;33;13;5;-;6;-;3
18.05.2012;30;33;13;5;-;5;-;3
03.05.2012;28;34;14;4;-;6;-;3
12.04.2012;27;35;14;3;-;6;-;4
04.04.2012;27;35;14;3;-;7;-;4
16.03.2012;30;37;13;3;-;7;-;4
01.03.2012;28;37;14;3;-;7;-;4
17.02.2012;29;36;16;3;-;7;-;3
02.02.2012;29;36;15;3;-;7;-;4
19.01.2012;29;36;15;3;-;7;-;4
05.01.2012;30;35;16;2;-;6;-;5
23.12.2011;30;36;16;3;-;6;-;3
